full_event_name,count
Microsoft-Windows-Shell-Launcher.TileInvoked,95
Microsoft-Windows-Shell-Launcher.TileLogged,1219
Microsoft-Windows-Shell-Launcher.TileMissingLogo,20
Microsoft-Windows-Shell-Launcher.TileNotification,113
Microsoft-Windows-Shell-Launcher.TileRemoved,5
Microsoft-Windows-Shell-Launcher.TileResized,1
Microsoft-Windows-Shell-Launcher.VerbOnAppItemInvoked,1
Microsoft-Windows-Shell-Launcher.VerbOnTileInvoked,3
Microsoft-Windows-Shell-Launcher.WindowsUpdatePendingStateChanged,33
Microsoft-Windows-ShutdownUX.ShutdownUX_ViewModel_Activity,35
Microsoft-Windows-Store.ContentUpdate,185
Microsoft-Windows-Store.OutgoingServiceRequest,2246
Microsoft-Windows-Store.PageAction,110
Microsoft-Windows-Store.PageView,56
Microsoft-Windows-Store.ReportError,171
Microsoft-Windows-Store.ReportExceptionCaught,189
Microsoft-Windows-Store.ReportExceptionThrown,258
Microsoft-Windows-Store.SearchBoxResponsive,23
Microsoft-Windows-Store.StoreActivated,1
Microsoft-Windows-Store.StoreActivating,1
Microsoft-Windows-Store.StoreBackgroundTask,16
Microsoft-Windows-Store.StoreJsonParsing,2
Microsoft-Windows-Store.StoreLaunched,7
Microsoft-Windows-Store.StoreLaunching,33
Microsoft-Windows-Store.StorePreLaunched,20
Microsoft-Windows-Store.StorePreLaunching,20
Microsoft-Windows-Store.StoreResumed,7
Microsoft-Windows-Store.StoreResuming,7
Microsoft-Windows-Store.StoreSuspended,32
Microsoft-Windows-Store.StoreSuspending,32
Microsoft-Windows-Sysmain-Prefetch.PfApAppStart,84
Microsoft-Windows-Sysmain-Prefetch.PfApPrelaunchableAppStateChange,50
Microsoft-Windows-Sysmain-Prefetch.PfIuPredictionStats,216
Microsoft-Windows-Sysmain-Prefetch.PfResPriPrefetchDbStats,8
Microsoft-Windows-Sysmain-Prefetch.PfResPriPrefetchStats,8
Microsoft-Windows-TCPIP.Histogram,45
Microsoft-Windows-TCPIP.IP_DONTFRAGMENT,132
Microsoft-Windows-TCPIP.TcpGlobalRoParameters,1
Microsoft-Windows-TCPIP.TcpThrottleInitialCwnd,5
Microsoft-Windows-TCPIP.TfoHistogram,15
Microsoft-Windows-Telephony-CallingShellPresenters.CallProgressDisplayed,4
Microsoft-Windows-Telephony-PhoneProviders.BluetoothHandsFreeLine::NotifyBluetoothHandsFreeDeviceStateChange,64
Microsoft-Windows-Telephony-PhoneProviders.BluetoothHandsFreeLine::NotifyLineStateChange,7
Microsoft-Windows-Telephony-PhoneProviders.BluetoothHandsFreeLine::OnPhoneCallAdded,4
Microsoft-Windows-Telephony-PhoneProviders.BluetoothHandsFreeLine::OnPhoneCallRemoved,4
Microsoft-Windows-Telephony-PhoneProviders.BluetoothHandsFreeLine::OnPhoneCallStateChanged,4
Microsoft-Windows-Telephony-PhoneService.CallsTriggerCallOriginDataRequestTriggerFired,4
Microsoft-Windows-Telephony-PhoneService.PhoneRpcSetCallOriginInfo,4
Microsoft-Windows-Telephony-TelephonyInteractiveUser.IncomingCallToastHide,3
Microsoft-Windows-Telephony-TelephonyInteractiveUser.IncomingCallToastPost,4
Microsoft-Windows-Telephony-TelephonyInteractiveUser.IncomingCallToastRemove,3
Microsoft-Windows-Telephony-TelephonyInteractiveUser.IncomingCallToastShow,3
Microsoft-Windows-Telephony-TelephonyInteractiveUser.IncomingCallToastUpdate,1
Microsoft.AAD.TokenBrokerPlugin.Provider.Operation_Start,423
Microsoft.AAD.TokenBrokerPlugin.Provider.Operation_Stop,432
Microsoft.Antimalware.Scan.Interface.AmsiProvider,263
Microsoft.Antimalware.Scan.Interface.AmsiScan,38
Microsoft.AppListBackupLauncher.AppListBackupLauncher,4
Microsoft.CAndE.ADFabric.CDJ.NgcPolicyCheck,17
Microsoft.ClientLicensing.InheritedActivation.InheritedActivationClientId,22
Microsoft.ClientLicensing.InheritedActivation.InheritedActivationRequest,22
Microsoft.ClipC.ClipGetLicenseAndPolicyForPfn,18
Microsoft.ClipC.GetExchangeDeviceUniqueID,4
Microsoft.ClipSp.BindingUpdate,1
Microsoft.ClipSp.ClipSpClepSign,4
Microsoft.ClipSp.ClipSpInsertTBActivationPolicyValue,5
Microsoft.ClipSp.SpCanAppLaunch,188
Microsoft.ClipSp.SpCompareHardwareBinding,3
Microsoft.ClipSvc.ClipInstallLicense_aggregate,12
Microsoft.ClipSvc.ClipSvcClose,2289
Microsoft.ClipSvc.ClipSvcCloseStop,2289
Microsoft.ClipSvc.ClipSvcOpen,2288
Microsoft.ClipSvc.ClipSvcOpenStart,2288
Microsoft.ClipSvc.GetExchangeDeviceUniqueID_aggregate,1
Microsoft.ClipUp.CreateProductKeyGT,51
Microsoft.DOTNET.WPF.PresentationCore.StylusConnect,45
Microsoft.DOTNET.WPF.PresentationCore.StylusDisconnect,36
Microsoft.DOTNET.WPF.PresentationCore.StylusShutdown,13
Microsoft.DOTNET.WPF.PresentationCore.StylusStartup,16
Microsoft.DOTNET.WPF.PresentationCore.StylusStatistics,13
Microsoft.DOTNET.WPF.PresentationFramework.ControlsUsed,39
Microsoft.DOTNET.WPF.PresentationFramework.NetFxVersion,29
Microsoft.Gaming.Critical.ProviderRegistered,45
Microsoft.Gaming.Critical.ProviderUnregistered,45
Microsoft.Gaming.Experimentation.ExperimentationSnapshot,4
Microsoft.Gaming.GameOverlay.PageAction,98
Microsoft.Gaming.Install.XvcDataSource_Remove,150
Microsoft.Geolocation.Api.GeovisitForegroundStarted,28
Microsoft.Geolocation.Api.GeovisitForegroundStopped,13
Microsoft.Geolocation.Service.SmartPdcHistogram,17
Microsoft.Geolocation.Service.UP_InitialState,3
Microsoft.OSG.DU.DeliveryOptClient.DownloadCanceled,1
Microsoft.OSG.DU.DeliveryOptClient.DownloadCompleted,1551
Microsoft.OSG.DU.DeliveryOptClient.DownloadPaused,5
Microsoft.OSG.DU.DeliveryOptClient.DownloadProgress,391
Microsoft.OSG.DU.DeliveryOptClient.DownloadResumed,5
Microsoft.OSG.DU.DeliveryOptClient.DownloadStarted,1551
Microsoft.OSG.DU.DeliveryOptClient.FailureCdnCommunication,15
Microsoft.OSG.DU.DeliveryOptClient.FailureServicesConnect,96
